material,bg_hse06 (eV),bg_pbesol (eV),r_s (AA),r_val (AA),e_H (eV),e_L (eV),AN,IP (eV),EA (eV),r_cov (AA),EN (Pauling),N_val,N_unf,max_OS,stdev_OS,lat_a (AA),lat_b (AA),lat_c (AA),std_charge,min_dist (AA),cbm (eV),vbm (eV),e_fermi (eV),skew_dos,kurt_dos
Ca8Si5O18,6.24749486,4.53186516,0.885601612903226,0.899056451612903,-9.83223387745283,1.29393290407925,12.0645161290323,10.7996333470968,1.0788358,1.01645161290323,2.56193548387097,4.64516129032258,1.80645161290323,4,3.22626085803482,5.08185777033036,11.421588590103,28.6057466600002,0.39297430493151,1.58437976,-4.97001184,-9.501877,-7.23594442,1.68526432552695,8.26188571731036
Zn2Ge3O8,4.33395287,2.52075403,0.666811538461538,0.705426923076923,-11.2053046227754,1.42076923170634,16.9230769230769,11.6485491538462,1.08822089530769,0.870769230769231,2.83461538461538,8.76923076923077,2.15384615384615,4,3.52629871234637,8.24480074,8.24479475,8.24479252,0.384069091417362,1.70456853,-5.51061803,-8.03137206,-7.8662809,2.79387165696197,13.1691173008683
Sr3SiO5,5.52690835,3.89972866,1.01585,1.02048333333333,-9.2204988949705,1.27720000084241,18.6666666666667,10.3696174833333,0.983471753333334,1.14,2.43888888888889,4.44444444444445,1.55555555555556,4,3.0645235107315,6.92104777000009,6.92105783000001,10.77238622,0.397071481665631,1.63404506,-5.37512165,-9.2748503,-7.32498597,5.47550100121344,95.7523467540587
K4Sn9,1.49231844,1.12688703,1.41553461538462,1.61166538461539,-7.948592312935,-2.05469769366292,40.4615384615385,6.41983976307692,0.924189870769231,1.58692307692308,1.60923076923077,10,3.07692307692308,0,0,14.2513255304817,8.29529517000065,16.4818072862854,0.108545624827161,2.92637227,-3.80538553,-4.93227255,-4.36882904,32.8413417600984,1369.75289091316
Sn5(W4O11)2,2.37832822,1.55215759,0.767795714285714,0.645535714285714,-10.2993982925075,1.30890600086332,29.0857142857143,11.406544,1.26385176,0.983714285714285,2.98171428571429,10.3428571428571,3.2,6,3.76322331399329,7.68330203433881,18.592348,7.68553482963243,0.399697826720638,1.82325689,-5.08704303,-6.63920062,-5.86312183,1.28853712710079,2.27751646116918
Cs2ZrO3,5.46967857,3.9745819,1.35296666666667,1.19873333333333,-7.64943667171204,0.999308333992452,29,9.21268374247667,0.959977566666667,1.435,2.205,4,2.66666666666667,4,2.86038776773678,6.75749871861178,6.75749873514196,5.89512327004506,0.450726342562783,1.91374237,-4.5650091,-8.53959099,-6.55230005,1.24806722227399,2.31221379343484
V2ZnO6,3.55401387,2.15154103,0.766883333333333,0.516394444444444,-9.86879445095365,1.92197222348991,13.7777777777778,11.6216556666667,1.02243953333333,0.915555555555556,2.83888888888889,6.44444444444445,2.88888888888889,5,4.18927201313068,4.93658952729229,4.93659457265601,6.53756104248279,0.383203253583018,1.65944977,-6.38708484,-8.53862587,-6.42633254,1.72477833592858,4.33749711103148
SbOsS,1.93849874,1.14964892,1.01915,0.929583333333333,-6.85564333785514,0.519050000342352,47.6666666666667,9.135543,1.40076900066667,1.29333333333333,2.27666666666667,14.3333333333333,3,4,3.46410161513775,6.21552597962592,6.13305771000013,6.22099668969107,0.12558011596421,2.4318751,-4.64033868,-5.7899876,-5.21516314,0.294285636998625,0.88014445033241
CdSb,0.75044047,0.22045956,1.12685,1.23815,-6.05854500399606,-1.81664500119821,49.5,8.8011045,0.163700595,1.415,1.87,13.5,1.5,2,2.82842712474619,6.45478919000045,8.27312411000003,8.56558646000005,0.154206487509716,2.79296642,-4.07427906,-4.29473863,-4.18450884,8.69121861853022,93.4202692395655
InGaO3,3.08913764,1.43396498,0.70693,0.83905,-10.8440580071525,1.32371000087309,20.8,10.52796454,1.0136886,0.924,2.782,8.8,3.2,3,3.27326835353989,3.33723070194006,3.33723069327952,12.03653637,0.429103593560178,1.91083829,-6.29864477,-7.73260976,-7.01562727,6.21918624382831,58.0832906347359
