material,bulk_modulus (eV/AA^3),r_sA,r_sB,r_valA,r_valB,r_s_catA,r_s_catB,r_val_catA,r_val_catB,e_hA,e_hB,e_lA,e_lB,ZA,ZB,IPA,IPB,EAA,EAB,ENA,ENB,oxA,oxB,A,B1,B2,A_atomic_stiffness,B_atomic_stiffness
Pr2AgMnO6,1.08655,2.02475,1.3256,0.36565,0.8668,1.89375,1.25405,0.36655,0.473,-3.26203,-4.84083,-1.05666,-2.33023,59,36,5.4702,7.50514,0.10923,0.39224,1.13,1.74,3,3,Pr,Ag,Mn,6.38,14.805
Na2MnWO6,1.29361,1.74615,1.3732,1.74615,0.5994,0.32095,1.31145,0.28665,0.593,-3.18997,-4.74338,-0.88318,-1.66473,11,49.5,5.13908,7.64903,0.54793,0.14813,0.93,1.955,1,5,Na,Mn,W,1.82,25.235
Mg2CuTcO6,0.97147,1.35285,1.3173,1.35285,0.9388,1.26075,1.2574,1.26075,0.494,-5.04225,-4.87236,-0.77042,-3.22453,12,36,7.64624,7.42288,-0.42,0.89389,1.31,1.9,2,4,Mg,Cu,Tc,5.26,19.06
Pr2FeGaO6,1.35268,2.02475,1.1348,0.36565,0.87305,1.89375,1.07775,0.36655,0.6754,-3.26203,-7.14697,-1.05666,-1.29093,59,28.5,5.4702,6.95089,0.10923,0.22722,1.13,1.82,3,3,Pr,Fe,Ga,6.38,9.665
Y2NbVO6,1.31951,1.78395,1.5654,0.95895,0.636,1.63185,1.4928,1.63185,0.6269,-3.97745,-4.51059,-1.37282,-1.25506,39,32,6.21726,6.75252,0.30712,0.72253,1.22,1.615,3,3,Y,Nb,V,8.42,17.45
Sm2MnVO6,1.41269,1.99935,1.41935,0.32485,0.44165,1.80355,1.33785,0.32345,0.43995,-3.31902,-4.49955,-0.57557,-1.28427,62,24,5.64371,7.09011,0.162,0.00383,1.17,1.59,2,4,Sm,Mn,V,8.06,17.35
Ba2GaWO6,1.07987,2.20615,1.2194,2.20615,1.0844,2.07185,1.1791,2.07185,0.88035,-3.35828,-6.95041,-1.33494,-1.81388,56,52.5,5.21166,6.93167,0.14463,0.55873,0.89,2.085,2,4,Ba,Ga,W,3.58,18.53
Ba2FeSbO6,0.93639,2.20615,1.13445,2.20615,0.804,2.07185,1.0866,2.07185,0.7799,-3.35828,-5.65264,-1.33494,-1.97623,56,38.5,5.21166,8.25543,0.14463,0.60032,0.89,1.94,2,4,Ba,Fe,Sb,3.58,10.98
Pm2CuWO6,0.98693,1.98305,1.3164,0.33615,1.0014,1.83585,1.26525,0.33605,0.55195,-3.30607,-5.08023,-1.25847,-2.63262,61,51.5,5.58187,7.79521,0.129,1.02603,1.13,2.13,3,3,Pm,Cu,W,6.83,20.76
Sm2CoCoO6,1.39108,1.99935,1.25195,0.32485,0.35505,1.80355,1.21615,0.32345,0.35985,-3.31902,-5.61926,-0.57557,-0.06427,62,27,5.64371,7.88101,0.162,0.66227,1.17,1.88,3,3,Sm,Co,Co,8.06,14.47
