material_and_condition,Y_oxygenate,T,x_P,w_r_s,w_r_p,w_r_d,w_r_val,w_e_H,w_e_L,w_EA,w_IP,w_EN
768,2.91149636505744,300,0.05,1.4049,1.55057,0.764705,0.742445,-4.15442246577274,-3.6694144697686,-0.672584957673159,8.40375233291174,3.86558368761929
769,3.07166698464001,250,0.35,1.230075,1.36339,0.959765,0.803945,-4.49742046294686,-1.10236449091789,-0.9906329039206,8.7303281281241,3.86984761210175
770,9.90718387314361,300,0.8,0.951975,1.09567,1.28462,0.92846,-5.2140889570424,2.54603897902381,-1.35125350928628,9.47725821131776,4.06300235101574
771,10.7265192112613,250,0.8,0.959025,1.08987,1.27028,0.91412,-5.12423495778269,2.63589297828352,-1.40300964884427,9.36300648226215,3.97999841670894
772,1.2445624553961,360,0.5,1.13385,1.27705,1.07522,0.85262,-4.78123696060856,0.068842999432817,-1.08496170259683,9.03643068704979,3.97573449222648
773,4.65062016137576,300,0.5,1.130325,1.27995,1.08239,0.85979,-4.82616396023842,0.02391599980296,-1.05908363281784,9.09355655157759,4.01723645937988
774,3.98859794647721,340,0.175,1.312375,1.48877,0.8860125,0.8081025,-4.54818071252866,-2.85065272651417,-0.660619045676869,8.85877832453045,4.09907963942679
775,1.27715735588096,360,0.5,1.130325,1.27995,1.08239,0.85979,-4.82616396023842,0.02391599980296,-1.05908363281784,9.09355655157759,4.01723645937988
776,4.33897261612335,340,0.025,1.4086,1.57511,0.7705575,0.7594275,-4.26436421486695,-4.02186021686488,-0.566290247000637,8.55267576560476,3.99319275930206
777,3.89476665060788,320,0.325,1.2320125,1.38938,0.9692025,0.8245125,-4.629825711856,-1.47727373782911,-0.87139915835858,8.90781449308103,4.01820766736122
778,1.31982789279195,300,0.05,1.419,1.53897,0.736025,0.713765,-3.97471446725331,-3.48970647124917,-0.776097236789141,8.17524887480053,3.6995758190057
779,7.29981007838741,360,0.1,1.3499125,1.54064,0.849795,0.805275,-4.54105346258738,-3.5710374705791,-0.535820437001767,8.87710463865101,4.17064210082462
780,1.85070690706791,200,0.25,1.31185,1.40645,0.846945,0.735645,-4.08357446635644,-1.65853448633574,-1.05713738703142,8.24063043286797,3.59174652291827
